Time, setTemp,  TempRilevata, Switch 
2016/12/01 20:05:40, 15, 20.0, 10
2016/12/01 20:10:40, 15, 20.0, 10
2016/12/01 21:08:24, 15, 20.0, 10
2016/12/01 22:25:33, 15, 20.0, 10
2016/12/01 22:54:55, 15, 20.0, 10
2016/12/01 23:00:00, 19.5, 20.0, 10
2016/12/01 23:05:05, 19.5, 20.0, 10
2016/12/01 23:10:05, 15, 20.0, 10
2016/12/01 23:15:05, 15, 20.0, 10
2016/12/01 23:20:10, 15, 20.0, 10
2016/12/02 19:43:54, 15, 20.0, 10
2016/12/02 19:52:03, 15, 20.0, 10
2016/12/02 19:57:03, 15, 20.0, 10
2016/12/02 20:02:03, 15, 20.0, 10
2016/12/02 20:07:08, 15, 20.0, 10
2016/12/02 20:24:06, 22.5, 20.0, 12
2016/12/02 20:29:06, 22.5, 20.0, 12
2016/12/02 20:34:06, 19.0, 20.0, 10
2016/12/02 20:40:27, 19.0, 20.0, 10
2016/12/02 20:45:32, 19.0, 20.0, 10
2016/12/02 20:59:19, 19.0, 20.0, 10
2016/12/02 21:04:19, 21.5, 20.0, 12
2016/12/02 21:09:19, 21.5, 20.0, 12
2016/12/02 21:44:36, 21.5, 20.0, 12
2016/12/02 21:49:36, 21.5, 20.0, 12
2016/12/02 21:54:36, 21.5, 20.0, 12
2016/12/02 21:59:41, 21.5, 20.0, 12
2016/12/02 22:09:24, 21.5, 20.0, 12
2016/12/03 08:56:45, 21.5, 20.0, 12
2016/12/03 09:31:04, 19.0, 20.0, 10
2016/12/03 13:05:36, 19.5, 20.0, 10
2016/12/03 13:10:36, 19.5, 20.0, 10
2016/12/03 13:15:36, 19.5, 20.0, 10
2016/12/03 13:20:36, 19.5, 20.0, 10
2016/12/03 13:25:36, 19.5, 20.0, 10
2016/12/03 13:30:36, 19.5, 20.0, 10
2016/12/03 13:35:36, 19.5, 20.0, 10
2016/12/03 13:40:41, 19.5, 20.0, 10
2016/12/03 13:45:41, 19.5, 20.0, 10
2016/12/03 13:50:41, 19.5, 20.0, 10
2016/12/03 14:55:41, 19.5, 20.0, 10
2016/12/03 15:00:41, 21.0, 20.0, 12
2016/12/03 15:05:42, 15, 20.0, 10
2016/12/03 15:10:42, 15, 20.0, 10
2016/12/03 15:15:42, 15, 20.0, 10
2016/12/03 15:20:42, 15, 20.0, 10
2016/12/03 15:25:42, 15, 20.0, 10
2016/12/03 15:30:42, 15, 20.0, 10
2016/12/03 15:35:42, 15, 20.0, 10
2016/12/03 15:40:47, 15, 20.0, 10
2016/12/03 15:45:47, 15, 20.0, 10
2016/12/03 15:50:52, 15, 20.0, 10
2016/12/03 15:55:52, 15, 20.0, 10
2016/12/03 16:00:52, 15, 20.0, 10
2016/12/03 16:05:52, 15, 20.0, 10
2016/12/03 16:17:42, 18.0, 20.0, 10
2016/12/03 16:22:43, 18.0, 20.0, 10
2016/12/03 16:40:42, 18.0, 20.0, 10
2016/12/03 16:45:42, 18.0, 20.0, 10
2016/12/03 16:50:43, 18.0, 20.0, 10
2016/12/03 16:55:43, 18.0, 20.0, 10
2016/12/03 17:00:43, 18.0, 20.0, 10
2016/12/03 17:05:43, 18.0, 20.0, 10
2016/12/03 17:10:48, 18.0, 20.0, 10
2016/12/03 17:15:53, 18.0, 20.0, 10
2016/12/03 17:20:53, 18.0, 20.0, 10
2016/12/03 17:25:53, 18.0, 20.0, 10
2016/12/03 17:30:53, 21.0, 20.0, 12
2016/12/03 17:35:53, 21.0, 20.0, 12
2016/12/03 17:40:53, 21.0, 20.0, 12
2016/12/03 17:45:53, 21.0, 20.0, 12
2016/12/03 17:50:58, 21.0, 20.0, 12
2016/12/03 17:56:03, 21.0, 20.0, 12
2016/12/03 18:01:03, 21.0, 20.0, 12
2016/12/03 18:06:08, 21.0, 20.0, 12
2016/12/03 18:11:13, 21.0, 20.0, 12
2016/12/03 18:16:13, 21.0, 20.0, 12
2016/12/03 18:21:13, 21.0, 20.0, 12
2016/12/03 18:26:18, 21.0, 20.0, 12
2016/12/03 18:31:18, 21.0, 20.0, 12
2016/12/03 18:36:18, 21.0, 20.0, 12
2016/12/03 18:41:18, 21.0, 20.0, 12
2016/12/03 18:46:23, 21.0, 20.0, 12
2016/12/03 18:51:28, 21.0, 20.0, 12
2016/12/03 18:56:28, 21.0, 20.0, 12
2016/12/03 19:01:28, 21.0, 20.0, 12
2016/12/03 19:06:33, 21.0, 20.0, 12
2016/12/03 19:11:33, 21.0, 20.0, 12
2016/12/03 19:16:33, 21.0, 20.0, 12
2016/12/03 19:21:33, 21.0, 20.0, 12
2016/12/03 19:26:38, 21.0, 20.0, 12
2016/12/03 19:31:38, 21.0, 20.0, 12
2016/12/03 19:36:38, 21.0, 20.0, 12
2016/12/03 19:41:38, 21.0, 20.0, 12
2016/12/03 19:46:38, 21.0, 20.0, 12
2016/12/03 19:51:43, 21.0, 20.0, 12
2016/12/03 19:56:43, 21.0, 20.0, 12
2016/12/03 20:01:43, 21.0, 20.0, 12
2016/12/03 20:06:48, 21.0, 20.0, 12
2016/12/03 20:11:48, 21.0, 20.0, 12
2016/12/03 20:16:48, 21.0, 20.0, 12
2016/12/03 20:21:48, 21.0, 20.0, 12
2016/12/03 20:26:49, 21.0, 20.0, 12
2016/12/03 20:31:49, 21.0, 20.0, 12
2016/12/03 20:36:49, 21.0, 20.0, 12
2016/12/03 20:41:49, 21.0, 20.0, 12
2016/12/03 20:46:49, 21.0, 20.0, 12
2016/12/03 20:51:49, 21.0, 20.0, 12
2016/12/03 20:56:49, 21.0, 20.0, 12
2016/12/03 21:01:49, 21.0, 20.0, 12
2016/12/03 21:06:54, 21.0, 20.0, 12
2016/12/03 21:11:54, 21.0, 20.0, 12
2016/12/03 21:16:54, 21.0, 20.0, 12
2016/12/03 21:21:54, 21.0, 20.0, 12
2016/12/03 21:26:54, 21.0, 20.0, 12
2016/12/03 21:31:54, 21.0, 20.0, 12
2016/12/03 21:36:59, 21.0, 20.0, 12
2016/12/03 21:41:59, 21.0, 20.0, 12
2016/12/03 21:46:59, 21.0, 20.0, 12
2016/12/03 21:51:59, 21.0, 20.0, 12
2016/12/03 21:56:59, 21.0, 20.0, 12
2016/12/03 22:01:59, 21.0, 20.0, 12
2016/12/03 22:06:59, 21.0, 20.0, 12
2016/12/03 22:11:59, 21.0, 20.0, 12
2016/12/03 22:16:59, 21.0, 20.0, 12
2016/12/03 22:21:59, 21.0, 20.0, 12
2016/12/03 22:26:59, 21.0, 20.0, 12
2016/12/03 22:32:04, 21.0, 20.0, 12
2016/12/03 22:37:04, 21.0, 20.0, 12
2016/12/03 22:42:04, 21.0, 20.0, 12
2016/12/03 22:47:04, 21.0, 20.0, 12
2016/12/03 22:52:05, 21.0, 20.0, 12
2016/12/03 22:57:05, 21.0, 20.0, 12
2016/12/03 23:02:05, 21.0, 20.0, 12
2016/12/03 23:07:10, 21.0, 20.0, 12
2016/12/03 23:12:15, 21.0, 20.0, 12
2016/12/03 23:17:15, 21.0, 20.0, 12
2016/12/03 23:22:15, 21.0, 20.0, 12
2016/12/03 23:27:15, 21.0, 20.0, 12
2016/12/03 23:32:20, 21.0, 20.0, 12
2016/12/03 23:37:20, 21.0, 20.0, 12
2016/12/03 23:42:20, 21.0, 20.0, 12
2016/12/03 23:47:20, 21.0, 20.0, 12
2016/12/03 23:52:20, 21.0, 20.0, 12
2016/12/03 23:57:20, 21.0, 20.0, 12
2016/12/04 00:02:20, 21.0, 20.0, 12
2016/12/04 00:07:25, 21.0, 20.0, 12
2016/12/04 00:12:30, 21.0, 20.0, 12
2016/12/04 00:17:35, 21.0, 20.0, 12
2016/12/04 00:22:35, 21.0, 20.0, 12
2016/12/04 00:27:35, 21.0, 20.0, 12
2016/12/04 00:32:35, 21.0, 20.0, 12
2016/12/04 00:37:40, 21.0, 20.0, 12
2016/12/04 00:42:45, 21.0, 20.0, 12
2016/12/04 00:47:45, 21.0, 20.0, 12
2016/12/04 00:52:45, 21.0, 20.0, 12
2016/12/04 00:57:45, 21.0, 20.0, 12
2016/12/04 01:02:50, 21.0, 20.0, 12
2016/12/04 01:07:55, 21.0, 20.0, 12
2016/12/04 01:12:55, 21.0, 20.0, 12
2016/12/04 01:17:55, 21.0, 20.0, 12
2016/12/04 01:22:55, 21.0, 20.0, 12
2016/12/04 01:27:55, 21.0, 20.0, 12
2016/12/04 01:32:55, 21.0, 20.0, 12
2016/12/04 01:37:55, 21.0, 20.0, 12
2016/12/04 01:42:55, 21.0, 20.0, 12
2016/12/04 01:48:00, 21.0, 20.0, 12
2016/12/04 01:53:00, 21.0, 20.0, 12
2016/12/04 01:58:00, 21.0, 20.0, 12
2016/12/04 02:03:05, 21.0, 20.0, 12
2016/12/04 02:08:05, 21.0, 20.0, 12
2016/12/04 02:13:05, 21.0, 20.0, 12
2016/12/04 02:18:05, 21.0, 20.0, 12
2016/12/04 02:23:05, 21.0, 20.0, 12
2016/12/04 02:28:10, 21.0, 20.0, 12
2016/12/04 02:33:10, 21.0, 20.0, 12
2016/12/04 02:38:15, 21.0, 20.0, 12
2016/12/04 02:43:15, 21.0, 20.0, 12
2016/12/04 02:48:15, 21.0, 20.0, 12
2016/12/04 02:53:15, 21.0, 20.0, 12
2016/12/04 02:58:15, 21.0, 20.0, 12
2016/12/04 03:03:15, 21.0, 20.0, 12
2016/12/04 03:08:20, 21.0, 20.0, 12
2016/12/04 03:13:20, 21.0, 20.0, 12
2016/12/04 03:18:20, 21.0, 20.0, 12
2016/12/04 03:23:20, 21.0, 20.0, 12
2016/12/04 03:28:20, 21.0, 20.0, 12
2016/12/04 03:33:20, 21.0, 20.0, 12
2016/12/04 03:38:20, 21.0, 20.0, 12
2016/12/04 03:43:20, 21.0, 20.0, 12
2016/12/04 03:48:25, 21.0, 20.0, 12
2016/12/04 03:53:26, 21.0, 20.0, 12
2016/12/04 03:58:26, 21.0, 20.0, 12
2016/12/04 04:03:26, 21.0, 20.0, 12
2016/12/04 04:08:26, 21.0, 20.0, 12
2016/12/04 04:13:26, 21.0, 20.0, 12
2016/12/04 04:18:26, 21.0, 20.0, 12
2016/12/04 04:23:31, 21.0, 20.0, 12
2016/12/04 04:28:31, 21.0, 20.0, 12
2016/12/04 04:33:31, 21.0, 20.0, 12
2016/12/04 04:38:31, 21.0, 20.0, 12
2016/12/04 04:43:31, 21.0, 20.0, 12
2016/12/04 04:48:31, 21.0, 20.0, 12
2016/12/04 04:53:31, 21.0, 20.0, 12
2016/12/04 04:58:31, 21.0, 20.0, 12
2016/12/04 05:03:31, 21.0, 20.0, 12
2016/12/04 05:08:31, 21.0, 20.0, 12
2016/12/04 05:13:31, 21.0, 20.0, 12
2016/12/04 05:18:31, 21.0, 20.0, 12
2016/12/04 05:23:31, 21.0, 20.0, 12
2016/12/04 05:28:31, 21.0, 20.0, 12
2016/12/04 05:33:31, 21.0, 20.0, 12
2016/12/04 05:38:36, 21.0, 20.0, 12
2016/12/04 05:43:36, 21.0, 20.0, 12
2016/12/04 05:48:41, 21.0, 20.0, 12
2016/12/04 05:53:41, 21.0, 20.0, 12
2016/12/04 05:58:41, 21.0, 20.0, 12
2016/12/04 06:03:41, 21.0, 20.0, 12
2016/12/04 06:08:41, 21.0, 20.0, 12
